time,XTNTVA01_CXML,PRMNTO01_GPSA,PRMNTO01_GYSA,IRLTCT01_ST,SLMNTO02_ML,CPALTT01_GP,CPALTT01_GY,LOCOBSNO_STSA,LOCOCINO_STSA,LOCODWNO_STSA,LOCOSINO_STSA,LORSGPNO_STSA,LRUNTTTT_ST,LMJVTTUV_ST
2012-01,-65.686,0.86322535263109,3.57655067856295,2.6565,436347.0,0.440019142826751,2.92521671215085,99.9553077099057,99.4750358114523,99.5537911144359,99.3507827438061,100.105451137434,8.8,3864000.0
2012-02,-48.216,0.412764477926928,3.82095177406948,2.704,455886.0,0.440297355127631,2.87109878043822,99.9868297112914,99.8837022623995,99.6991611616335,99.3069255982123,100.18497677286,8.7,3476000.0
2012-03,-57.096,-0.545431969400077,2.61113738103026,2.896363636,503661.0,0.759455862393086,2.65139819302177,99.9844442688164,100.155638682988,99.8476939392561,99.2573521967595,100.231407814879,8.4,3953000.0
2012-04,-62.052,0.493814378575463,3.70804500897708,2.778095238,475870.0,0.302102950408034,2.30273981129894,99.9352316229669,100.287373392325,100.000074994382,99.1869996457215,100.24405817989,7.7,4196000.0
2012-05,-67.179,-0.343415958539598,3.33674070008819,2.502272727,494942.0,-0.117347936632105,1.7042537749376,99.8362805683441,100.311758587098,100.155710573234,99.1021159552932,100.225267237248,7.9,3890000.0
2012-06,-59.211,0.24578043141813,3.50616488100346,2.285238095,489908.0,-0.146639688445049,1.66399376223851,99.7080910800215,100.262684321253,100.315520858492,99.0242107967744,100.179811022306,8.4,3804000.0
2012-07,-71.44,-0.179460062805961,2.68511449984711,2.18047619,458453.0,-0.162978586182561,1.40845070422536,99.5908168926829,100.226413653551,100.47745433671,98.972579907617,100.116418703645,8.6,3932000.0
2012-08,-66.375,-0.141192724016838,2.07788039426821,2.360869565,497325.0,0.556515818143709,1.69237899755015,99.5051427369667,100.2423596046,100.638869880809,98.954406389531,100.04541568197,8.2,3937000.0
2012-09,-57.432,-0.229534368790628,1.55348085224124,2.451578947,487011.0,0.446221226761131,1.99128208066498,99.4498464060672,100.285826374526,100.794043542226,98.9610504685123,99.9775462327352,7.6,3912000.0
2012-10,-65.141,-0.186957503004142,0.835186278789115,2.465714286,497120.0,-0.0388925140553232,2.16234359887113,99.4220652078317,100.2931693859,100.933375941935,98.9860930445935,99.9232439565895,7.5,4128000.0
2012-11,-64.385,0.636479471016204,1.65017859788316,2.3755,470251.0,-0.473808669488188,1.76413384608586,99.4311528806861,100.216784823938,101.04890263459,99.0282234185659,99.8902754136071,7.4,3575000.0
2012-12,-46.386,0.698037358206417,1.72553053136975,2.462,466517.0,-0.269306449020735,1.74102236874756,99.4866601131766,100.087362835079,101.136649509186,99.0910467008825,99.8803140176693,7.6,3404000.0
2013-01,-62.133,-0.259208223906059,0.593500986803084,2.659047619,450912.0,0.295730419292604,1.59486466812257,99.5688298632812,100.014980789092,101.191044578183,99.1718625601409,99.8838667176514,8.5,3839000.0
2013-02,-46.92,0.427157503118786,0.60791991851329,2.762105263,454620.0,0.819002952926876,1.97792350974904,99.6347647069334,100.03583139339,101.213058607622,99.2641750536452,99.8886979632591,8.1,3843000.0
2013-03,-45.221,-0.0780644041368006,1.08070743858025,2.7795,502847.0,0.261450858437495,1.47389621259677,99.6687393418476,100.125595507891,101.20387107223,99.3714472145373,99.8871269384604,7.6,4051000.0
2013-04,-61.121,-0.334894836996091,0.247158485454814,2.544545455,483124.0,-0.103963947708716,1.06308538148945,99.7017408065201,100.252329854946,101.170169559391,99.5066553885974,99.8830918000535,7.1,4421000.0
2013-05,-63.724,0.327355163727951,0.921904661517263,2.721363636,502851.0,0.178040777358723,1.36196505885168,99.7709406063358,100.367627497794,101.124462328995,99.6845441777792,99.8849923826075,7.3,4197000.0
2013-06,-50.428,0.143911768929721,0.819348929002567,3.055,498138.0,0.23997080855995,1.75441654537688,99.8885513488101,100.379911778551,101.073944503122,99.8940360721141,99.8986144338698,7.8,4055000.0
2013-07,-70.099,-0.779897751864759,0.212903232341025,3.283181818,475206.0,0.0393997533233011,1.9606816118444,100.034155071444,100.256971825088,101.025719378178,100.105137778494,99.9195328217272,7.7,4097000.0
2013-08,-60.495,0.860213966980164,1.21786087762663,3.463636364,504328.0,0.12029315570472,1.51836755954321,100.17237057257,100.012100915537,100.983335330412,100.289696301379,99.9377239933203,7.3,4214000.0
2013-09,-63.59,0.087482313140583,1.53947660032165,3.5135,499417.0,0.116300448526347,1.18492526155215,100.273711553615,99.7222372650494,100.948081417346,100.432248597786,99.941529342672,7.0,4175000.0
2013-10,-63.054,0.13576441070137,1.86778053120422,3.368181818,505684.0,-0.257528325980464,0.963612704643408,100.330128975917,99.4909405104777,100.919464265543,100.532988839895,99.9217049549078,7.0,4606000.0
2013-11,-52.456,-0.039394287828279,1.18363736468378,3.488421053,478027.0,-0.204242419052338,1.23707220453391,100.343201759741,99.3890047515792,100.892761775821,100.604859596358,99.8748919758066,6.6,3768000.0
2013-12,-50.688,-0.154938579706341,0.326548088201154,3.607142857,480051.0,-0.00858114978825904,1.50173561961839,100.323916288049,99.3956143101096,100.861744321793,100.649565338581,99.8086483517889,6.5,3520000.0
2014-01,-59.488,-1.07102570421619,-0.490037022332306,3.498571429,456457.0,0.372024767323605,1.57894736842106,100.29689135656,99.4291667238327,100.827992913471,100.663405611812,99.7482550937185,7.0,4026000.0
2014-02,-47.1,0.945103396316603,0.0231785055984648,3.378947368,459554.0,0.369790865096873,1.12634925010552,100.300739444115,99.4580877344955,100.795800971292,100.650469091374,99.7235217022645,7.0,4216000.0
2014-03,-52.378,0.857807239648339,0.959998393308129,3.345238095,517540.0,0.644004412622824,1.51220287576309,100.331500566109,99.4707821596775,100.764914295988,100.621117514966,99.7552222216675,6.8,4329000.0
2014-04,-67.318,-0.0334197007146505,1.26539042821158,3.25952381,502375.0,0.329675445315773,1.95285789851675,100.382910281879,99.4730453177571,100.734961363846,100.580828188599,99.8389333343073,5.9,5070000.0
2014-05,-62.688,0.285654872002543,1.22330024936004,3.111428571,510873.0,0.34926098400487,2.12711154993668,100.445011993819,99.4666863510789,100.70516140485,100.533670576291,99.9575273443871,6.1,4805000.0
2014-06,-59.94,0.330776938874729,1.41217952189271,3.15047619,522242.0,0.186212694409411,2.07234137316707,100.510605381508,99.4839493877163,100.67720896627,100.48483412221,100.089701982786,6.3,4882000.0
2014-07,-71.873,0.516383456743228,2.73709956994355,3.070454545,497821.0,-0.0390193964161093,1.9923286357643,100.574641039363,99.5579347808816,100.65250782147,100.432086372477,100.215907140928,6.5,5117000.0
2014-08,-59.853,-0.610436346393347,1.2390822474036,2.942857143,513910.0,-0.167051416579219,1.69961133416282,100.620218443831,99.7240607655943,100.628830943977,100.373487882691,100.321164216529,6.3,5484000.0
2014-09,-70.121,0.00425624158030144,1.15489858218302,3.01952381,521182.0,0.0752568824311014,1.65791867571505,100.622757642242,99.9887390674165,100.607879322797,100.308291970685,100.398246524459,5.7,4976000.0
2014-10,-66.109,-0.130156266702566,0.88627149063384,2.791818182,516664.0,-0.251227781255389,1.66434021563205,100.580367113146,100.329789189302,100.589304791501,100.232061313463,100.452260841576,5.5,5412000.0
2014-11,-56.005,0.651926791535066,1.58399441460924,2.806666667,470631.0,-0.539941794106119,1.32235518237088,100.481802599144,100.704190857436,100.5727817052,100.152859803776,100.492868264905,5.5,4463000.0
