Date,prediction,actual,FE
2018-01-02,21.538143157958984,21.368667602539062,-0.007931030543045394
2018-01-03,21.537742614746094,21.149999618530277,-0.01833300251580625
2018-01-04,21.176612854003906,20.974666595458984,-0.00962810338966929
2018-01-05,21.378862380981445,21.10533332824707,-0.012960186341538974
2018-01-08,22.318626403808594,22.42733383178711,0.004847095459222196
2018-01-09,22.4742488861084,22.246000289916992,-0.01026020827190495
2018-01-10,22.543869018554688,22.31999969482422,-0.010029987759470345
2018-01-11,22.790098190307617,22.530000686645508,-0.011544496037955305
2018-01-12,22.71413230895996,22.4146671295166,-0.013360233177364953
2018-01-16,22.900815963745117,22.67066764831543,-0.01015181021573438
2018-01-17,23.278789520263672,23.143999099731445,-0.005823990052513899
2018-01-18,23.315202713012695,22.971332550048828,-0.014969534841509934
2018-01-19,23.414730072021484,23.334667205810547,-0.0034310695543582088
2018-01-22,23.68081283569336,23.437332153320312,-0.010388583511991296
2018-01-23,23.749195098876953,23.519332885742188,-0.00977333048736735
2018-01-24,23.340787887573242,23.05933380126953,-0.012205646907640302
2018-01-25,22.850242614746094,22.50933265686035,-0.015145271656103066
2018-01-26,22.9814395904541,22.856666564941406,-0.005458933618259009
2018-01-29,23.326929092407227,23.302000045776367,-0.001069824331897979
2018-01-30,23.285037994384766,23.05466651916504,-0.009992401105790093
2018-01-31,23.67428207397461,23.62066650390625,-0.002269858475817892
2018-02-01,23.598546981811523,23.28333282470703,-0.013538188861433263
2018-02-02,23.160144805908203,22.916667938232425,-0.010624444545429722
2018-02-05,22.615821838378906,22.208667755126957,-0.01833311604915862
2018-02-06,22.573657989501953,22.264667510986328,-0.013878063903858255
2018-02-07,23.10063362121582,23.0,-0.0043753748354704485
2018-02-08,21.35222053527832,21.01533317565918,-0.016030550493928757
2018-02-09,20.65464973449707,20.69466781616211,0.0019337387785362645
2018-02-12,21.179119110107422,21.048667907714844,-0.006197598962771635
2018-02-13,21.701946258544922,21.577333450317383,-0.005775171826234447
2018-02-14,21.805145263671875,21.48733329772949,-0.014790665809422184
2018-02-15,22.361225128173828,22.271333694458008,-0.004036194461860578
2018-02-16,22.70401954650879,22.36599922180176,-0.015113133169455482
2018-02-20,22.64656639099121,22.31800079345703,-0.014721999545340337
2018-02-21,22.61516571044922,22.21999931335449,-0.017784266845464317
2018-02-22,23.15206527709961,23.077999114990234,-0.0032093840432321353
2018-02-23,23.64389419555664,23.46999931335449,-0.00740924104344585
2018-02-26,23.918373107910156,23.827999114990234,-0.003792764658240542
2018-02-27,23.710195541381836,23.39933204650879,-0.013285143962877697
2018-02-28,23.23619270324707,22.87066650390625,-0.015982315131847575
2018-03-01,22.446224212646484,22.062000274658203,-0.017415643785918405
2018-03-02,22.40430450439453,22.341333389282227,-0.002818592517065867
2018-03-05,22.530332565307617,22.22333335876465,-0.013814273564946165
2018-03-06,22.288427352905273,21.8799991607666,-0.01866673710257866
2018-03-07,22.298473358154297,22.15333366394043,-0.006551596090032938
2018-03-08,22.274288177490234,21.940000534057617,-0.015236446458317088
2018-03-09,22.12497329711914,21.81133270263672,-0.014379707960004966
2018-03-12,22.956796646118164,23.03400039672852,0.0033517300199977524
2018-03-13,22.797039031982422,22.78933334350586,-0.00033812698074199457
2018-03-14,22.167125701904297,21.775333404541016,-0.017992482139519254
2018-03-15,22.047121047973633,21.706666946411133,-0.015684310373536594
2018-03-16,21.814388275146484,21.42333221435547,-0.018253745816861046
2018-03-19,21.278608322143555,20.90399932861328,-0.017920446113749662
2018-03-20,21.111377716064453,20.703332901000977,-0.019709136544085043
2018-03-21,21.443775177001953,21.101999282836918,-0.016196375025138744
2018-03-22,21.06999969482422,20.606666564941406,-0.02248462304286962
2018-03-23,20.511587142944336,20.1026668548584,-0.02034159403020251
2018-03-26,20.356718063354492,20.27866744995117,-0.0038489024782302358
2018-03-27,18.989965438842773,18.61199951171875,-0.02030764759509279
2018-03-28,17.3397216796875,17.185333251953125,-0.008983731969051497
2018-03-29,17.759811401367188,17.742000579833984,-0.001003878984957726
2018-04-02,16.947969436645508,16.832000732421875,-0.0068897753788860865
2018-04-03,17.839439392089844,17.8353328704834,-0.00023024642356080747
2018-04-04,18.900747299194336,19.12933349609375,0.011949511829363624
2018-04-05,20.400238037109375,20.381332397460938,-0.0009275958646743195
2018-04-06,20.375656127929688,19.953332901000977,-0.021165548082823032
2018-04-09,19.845367431640625,19.310667037963867,-0.02768937979333194
2018-04-10,20.51386260986328,20.31333351135254,-0.009871796689532628
2018-04-11,20.55497169494629,20.062000274658203,-0.024572396248583178
2018-04-12,20.07839584350586,19.60533332824707,-0.024129276831891845
2018-04-13,20.34901237487793,20.022666931152344,-0.016298799997408943
2018-04-16,19.81372833251953,19.41399955749512,-0.020589717942487956
2018-04-17,19.482975006103516,19.179332733154297,-0.015831743323600014
2018-04-18,19.923786163330078,19.55666732788086,-0.01877205503853091
2018-04-19,20.17615509033203,20.005332946777344,-0.008538830321352149
2018-04-20,19.813507080078125,19.34933280944824,-0.023989161548931083
2018-04-23,19.28917694091797,18.891332626342773,-0.021059621491203138
2018-04-24,19.166542053222656,18.8973331451416,-0.014245867711247223
2018-04-25,19.003864288330078,18.71266746520996,-0.015561481208464893
2018-04-26,19.214826583862305,19.03199958801269,-0.009606294651496658
2018-04-27,19.790451049804688,19.60533332824707,-0.009442212405075631
2018-04-30,20.01397132873535,19.59333229064941,-0.02146847875829085
2018-05-01,20.270021438598633,19.994667053222656,-0.013771391373661113
2018-05-02,20.49409294128418,20.07666778564453,-0.0207915556553723
